junction_id,phase_id,baseline_avg_duration,rl_avg_duration,difference,baseline_count,rl_count
cluster_6098633245_6975349630_6975349631,0,24.0,6.7368421052631575,-17.263157894736842,200,475
cluster_6098633245_6975349630_6975349631,1,6.0,6.0,0.0,200,475
cluster_6098633245_6975349630_6975349631,2,24.0,6.7368421052631575,-17.263157894736842,200,475
cluster_6098633245_6975349630_6975349631,3,6.0,6.0,0.0,200,475
cluster_6098633245_6975349630_6975349631,4,24.0,6.473684210526316,-17.526315789473685,200,475
cluster_6098633245_6975349630_6975349631,5,5.975,6.0,0.025000000000000355,200,470
cluster_12637978186_12637992859_12663377950_305427579,0,39.0,13.782608695652174,-25.217391304347828,200,460
cluster_12637978186_12637992859_12663377950_305427579,1,6.0,6.0,0.0,200,455
cluster_12637978186_12637992859_12663377950_305427579,2,39.0,13.615384615384615,-25.384615384615387,200,455
cluster_12637978186_12637992859_12663377950_305427579,3,5.975,6.0,0.025000000000000355,200,455
