episode,step,total_waiting_time,total_queue_length,avg_loss
5,3500,220670.0,111,92429460.14
6,0,0.0,0,101083438.0
6,100,22.0,2,862137950.66
6,200,124.0,7,175592617.48
6,300,23.0,2,126586875.48
6,400,281.0,12,106945350.92
6,500,526.0,8,99784822.2
6,600,461.0,18,100372891.82
6,700,1995.0,22,95063966.1
6,800,5109.0,37,97866993.52
6,900,8441.0,35,87686441.9
6,1000,12055.0,38,90276174.62
6,1100,15988.0,42,789653099.04
6,1200,20600.0,51,168913499.32
6,1300,26095.0,57,121703572.24
6,1400,32050.0,63,106104609.54
6,1500,38509.0,65,92319823.74
6,1600,44305.0,65,98279823.48
6,1700,51049.0,70,96324795.76
6,1800,58321.0,75,92469736.74
6,1900,65930.0,78,88809276.98
6,2000,73849.0,80,89090873.61
6,2100,81996.0,83,682787512.03
6,2200,90338.0,84,146478888.44
6,2300,98967.0,87,112523883.94
6,2400,107667.0,87,107777396.56
6,2500,116461.0,88,98377020.98
6,2600,125324.0,89,89454431.58
6,2700,134305.0,90,93208447.04
6,2800,143483.0,94,100172371.84
6,2900,152980.0,98,96414785.62
6,3000,162903.0,101,99499883.48
6,3100,173030.0,102,680536773.36
6,3200,183243.0,103,158109524.6
6,3300,193645.0,105,113712704.78
6,3400,204165.0,106,106977361.56
6,3500,214856.0,108,103864046.08
7,0,0.0,0,119410152.0
7,100,33.0,3,106058597.38
7,200,78.0,5,98985309.2
7,300,65.0,7,106509711.34
7,400,76.0,5,110938440.81
7,500,90.0,6,762783444.54
7,600,294.0,6,148920662.64
7,700,1170.0,19,119083313.92
7,800,3503.0,31,106887739.2
7,900,6287.0,30,104892300.23
7,1000,9398.0,33,110439893.44
7,1100,12831.0,37,97996512.72
7,1200,17001.0,46,107616949.98
7,1300,22057.0,53,102960256.44
7,1400,27604.0,59,96826265.4
7,1500,33659.0,61,663225361.88
7,1600,39787.0,62,134531364.76
7,1700,46230.0,67,115325165.68
7,1800,53195.0,72,115241489.92
7,1900,60500.0,75,105888446.31
7,2000,68116.0,77,106528791.7
7,2100,75967.0,80,106324522.88
7,2200,84107.0,82,99856749.16
7,2300,92533.0,85,106010663.52
7,2400,101033.0,85,95720676.42
7,2500,109622.0,86,607562489.32
7,2600,118283.0,87,152996834.84
7,2700,127062.0,88,124376028.24
7,2800,136038.0,92,114845121.88
7,2900,145327.0,96,112420010.76
7,3000,155221.0,102,115787421.44
7,3100,165447.0,103,116815666.86
7,3200,175759.0,104,108289334.63
7,3300,186218.0,105,107911262.7
7,3400,196744.0,106,114648028.78
7,3500,207435.0,108,644013272.64
8,0,0.0,0,128983480.0
8,100,31.0,3,118058807.92
8,200,109.0,6,132517799.96
8,300,107.0,7,107760517.38
8,400,151.0,6,115783040.2
8,500,109.0,6,102600512.55
8,600,584.0,11,112067366.8
8,700,2432.0,24,113381886.37
8,800,4621.0,36,103418490.33
8,900,8207.0,39,615023718.86
8,1000,12179.0,42,151054045.56
8,1100,16518.0,47,149894839.5
8,1200,21560.0,55,125747170.86
8,1300,27422.0,61,131316870.64
8,1400,33779.0,67,116181046.65
8,1500,40637.0,69,120001769.5
8,1600,47568.0,70,131400954.96
8,1700,54814.0,75,106476234.96
8,1800,62597.0,81,117367123.8
8,1900,70764.0,84,559528719.08
8,2000,79283.0,86,152287083.52
8,2100,88030.0,89,151013058.44
8,2200,96972.0,90,131575563.8
8,2300,106202.0,93,129014759.2
8,2400,115502.0,93,122753880.8
8,2500,124894.0,94,133080868.47
8,2600,134358.0,95,135125382.56
8,2700,143939.0,96,117102309.01
8,2800,153721.0,100,120129776.1
8,2900,163821.0,104,592737760.92
8,3000,174344.0,107,161355373.28
8,3100,185065.0,108,147553896.74
8,3200,195880.0,109,142745365.66
8,3300,206861.0,111,131308712.66
8,3400,217989.0,112,132499511.64
8,3500,229278.0,114,150232239.78
9,0,0.0,0,62582154.0
9,100,35.0,3,140351586.32
9,200,130.0,9,126510253.9
9,300,62.0,7,582679165.76
9,400,123.0,4,154966254.68
9,500,213.0,11,156503720.28
9,600,581.0,9,131964048.45
9,700,1710.0,20,144410744.12
9,800,3979.0,35,125979711.74
9,900,6910.0,32,143248935.94
9,1000,10221.0,35,134269825.86
9,1100,13853.0,39,143756708.84
9,1200,18228.0,47,128535200.51
9,1300,23389.0,53,555730030.32
9,1400,28937.0,59,167602335.44
9,1500,34992.0,61,151478204.56
9,1600,41120.0,62,156624758.88
9,1700,47559.0,67,149396187.44
9,1800,54533.0,73,141334650.235
9,1900,61903.0,76,143885459.6
9,2000,69619.0,78,134106148.2
9,2100,77570.0,81,140530827.04
9,2200,85808.0,83,143047475.42
9,2300,94335.0,86,548925739.08
9,2400,102935.0,86,169470967.96
9,2500,111626.0,87,145959808.5
9,2600,120387.0,88,146472303.44
9,2700,129266.0,89,141467888.36
9,2800,138344.0,93,170815312.87
9,2900,147731.0,97,144421092.9
9,3000,157724.0,103,139627665.54
9,3100,168048.0,104,150072442.92
9,3200,178460.0,105,158103566.16
9,3300,189018.0,106,516556405.72
9,3400,199663.0,108,185147217.0
9,3500,210555.0,110,154417678.6
10,0,0.0,0,212425530.0
10,100,27.0,3,140387124.78
10,200,149.0,8,149254827.92
10,300,64.0,7,163043924.88
10,400,256.0,8,154621284.64
10,500,251.0,12,156160375.4
10,600,616.0,8,158965227.54
10,700,1519.0,20,665412469.66
10,800,3932.0,32,168651676.44
10,900,6820.0,31,199155572.32
10,1000,10029.0,34,177569866.5
10,1100,13564.0,39,155217365.56
10,1200,17773.0,46,170162626.25
10,1300,22828.0,52,154302210.24
10,1400,28277.0,58,165855099.61
10,1500,34234.0,60,173019437.25
10,1600,40263.0,61,134584217.97
10,1700,46602.0,66,510654600.38
10,1800,53476.0,72,180425772.68
10,1900,60733.0,75,180795832.4
10,2000,68348.0,77,182539923.0
10,2100,76197.0,80,178430709.46
10,2200,80281.0,81,175496181.92
10,2300,88605.0,84,165138447.94
10,2400,97005.0,84,177622264.42
10,2500,105496.0,85,143184661.42
10,2600,114058.0,86,138502827.86
10,2700,122738.0,87,516999803.64
10,2800,131616.0,91,186540354.6
10,2900,140804.0,95,176425324.18
10,3000,150596.0,101,172954986.68
10,3100,160718.0,102,219222818.44
10,3200,170931.0,103,180135689.02
10,3300,181291.0,104,158229530.94
10,3400,191736.0,106,149720828.8
10,3500,202426.0,108,212885449.54
11,0,0.0,0,86155002.0
11,100,22.0,3,563559063.88
11,200,114.0,6,283479937.36
11,300,29.0,5,185696519.6
11,400,151.0,7,177385364.0
11,500,121.0,7,174527450.44
11,600,568.0,11,194066960.36
11,700,1539.0,19,167375099.76
11,800,3605.0,30,152709074.46
11,900,6203.0,28,173736399.27
11,1000,9113.0,31,149436331.82
11,1100,12292.0,35,495965761.58
11,1200,16319.0,44,216259825.68
11,1300,21173.0,50,201737820.16
11,1400,26415.0,56,240811897.62
11,1500,32170.0,58,194725029.8
11,1600,37998.0,59,176182296.12
11,1700,44134.0,64,187703887.98
11,1800,50799.0,69,191623069.94
11,1900,57804.0,72,183286839.16
11,2000,65117.0,74,195010947.27
11,2100,72669.0,77,506351625.56
11,2200,80509.0,79,227497602.24
11,2300,88634.0,82,213183277.52
11,2400,96834.0,82,223033377.46
11,2500,105126.0,83,178926885.64
11,2600,113486.0,84,184453273.18
11,2700,121965.0,85,194420904.48
11,2800,130641.0,89,210656758.24
11,2900,139628.0,93,179671611.05
11,3000,149221.0,99,197853490.14
11,3100,159145.0,100,451269871.62
11,3200,169157.0,101,229506081.8
11,3300,179378.0,104,209004519.08
11,3400,189804.0,105,189123480.98
11,3500,200393.0,107,198767717.08
12,0,0.0,0,259918448.0
12,100,22.0,2,208637417.92
12,200,180.0,10,202528708.76
12,300,104.0,7,186718506.88
12,400,176.0,12,214933143.56
12,500,499.0,9,517590751.92
12,600,1014.0,11,227515968.72
12,700,2883.0,25,226747624.16
12,800,5528.0,34,193767726.64
12,900,9217.0,38,197745589.18
12,1000,13091.0,41,220079777.61
12,1100,17324.0,45,184894497.9
12,1200,22343.0,55,205387603.26
12,1300,28133.0,59,226964145.15
12,1400,34284.0,65,195882617.94
12,1500,40941.0,67,481093201.14
12,1600,47671.0,68,210950984.68
12,1700,54714.0,73,241566159.68
12,1800,62282.0,78,230837929.32
12,1900,70194.0,81,223074782.64
12,2000,78412.0,83,210346440.8
12,2100,86858.0,85,335007390.0
12,2200,95500.0,87,201559104.0
12,2300,104428.0,90,167227996.16
12,2400,113428.0,90,271499461.52
12,2500,122522.0,91,492588179.68
12,2600,131685.0,92,234168544.0
12,2700,140965.0,93,209193927.42
12,2800,150445.0,97,237314731.74
12,2900,160239.0,101,246664499.8
12,3000,170540.0,105,255963576.8
12,3100,181064.0,106,202404975.5
12,3200,191679.0,107,227103921.92
12,3300,202502.0,110,222251440.84
12,3400,213535.0,112,200510614.5
12,3500,224826.0,114,547808882.4
13,0,0.0,0,328553232.0
13,100,35.0,3,325150364.4
13,200,109.0,6,238028925.42
13,300,32.0,6,206266011.3
13,400,362.0,10,225700297.16
13,500,596.0,7,248827746.38
13,600,104.0,8,245639532.75
13,700,810.0,13,209947252.6
13,800,2934.0,29,244823302.82
13,900,5651.0,29,571120602.36
13,1000,8621.0,32,261181268.28
13,1100,11954.0,37,230540264.4
13,1200,16088.0,45,265822045.74
13,1300,21043.0,51,236112325.78
13,1400,26389.0,57,258091024.9
13,1500,32245.0,59,216637385.75
13,1600,38173.0,60,196630118.96
13,1700,44409.0,65,244933303.72
13,1800,51171.0,70,230133591.0
13,1900,58277.0,73,484016016.48
13,2000,65693.0,75,252172516.28
13,2100,73344.0,78,262218982.62
13,2200,81282.0,80,244142608.34
13,2300,89505.0,83,250225643.88
13,2400,97805.0,83,258261409.56
13,2500,106194.0,84,239886227.84
13,2600,114655.0,85,259685629.5
13,2700,123234.0,86,261014612.78
13,2800,132010.0,90,252275905.22
13,2900,141095.0,94,482242666.66
13,3000,150781.0,100,271266574.98
13,3100,160805.0,101,297851941.45
13,3200,171004.0,103,270009110.4
13,3300,181383.0,105,284838642.28
13,3400,191928.0,107,244779815.1
13,3500,202717.0,109,304983932.4
14,0,0.0,0,119651706.0
14,100,22.0,2,263928308.78
14,200,93.0,6,242757654.54
14,300,41.0,6,538660520.56
14,400,162.0,8,269685279.04
14,500,74.0,6,283582837.46
14,600,58.0,9,270217950.64
14,700,703.0,16,337604118.44
14,800,2505.0,28,331220616.6
14,900,4979.0,27,286994175.41
14,1000,7787.0,30,263442411.38
14,1100,10919.0,34,289655824.94
14,1200,14771.0,43,344141958.98
14,1300,19527.0,50,526836880.64
14,1400,24847.0,57,275867085.08
14,1500,30701.0,59,318399080.4
14,1600,36626.0,60,298473723.84
14,1700,42864.0,65,274002255.42
14,1800,49623.0,70,288439044.1
14,1900,56728.0,73,357897621.12
14,2000,64139.0,75,286108299.76
14,2100,70555.0,77,335050419.44
14,2200,78391.0,79,266661012.98
14,2300,86513.0,82,560869440.76
14,2400,94713.0,82,300029008.04
14,2500,103003.0,83,330815022.24
14,2600,111363.0,84,283768321.88
14,2700,119840.0,85,258296080.42
14,2800,128511.0,89,292038869.0
14,2900,137495.0,92,258856695.26
14,3000,147082.0,99,272856448.14
14,3100,157008.0,100,386096384.66
14,3200,167149.0,103,293225989.23
14,3300,177509.0,104,540098431.32
14,3400,187909.0,104,309968923.68
14,3500,198398.0,106,277659449.44
15,0,0.0,0,221910292.0
15,100,20.0,2,301198670.76
15,200,114.0,6,291877899.44
15,300,46.0,5,313689895.98
15,400,93.0,4,337139572.94
15,500,222.0,8,361025459.5
15,600,698.0,9,305426169.08
15,700,1965.0,23,510283103.08
15,800,4789.0,34,341382188.52
15,900,7851.0,33,303558608.78
15,1000,11266.0,36,269558787.98
15,1100,15000.0,40,310578681.64
15,1200,19481.0,49,344089168.5
15,1300,24837.0,55,279069506.42
15,1400,30586.0,61,306959198.63
15,1500,36841.0,63,257575000.22
15,1600,43170.0,64,241667138.66
15,1700,49813.0,69,541054523.8
15,1800,56980.0,74,346808819.04
15,1900,64449.0,76,365835125.08
15,2000,72166.0,78,340287434.96
15,2100,77947.0,79,380719474.16
15,2200,85988.0,81,355634991.22
15,2300,94315.0,84,327084068.36
15,2400,102715.0,84,316981801.12
15,2500,111207.0,85,269926864.92
15,2600,119769.0,86,346984852.84
15,2700,128449.0,87,479262091.0
15,2800,137327.0,91,366882986.08
15,2900,146519.0,95,377165752.18
15,3000,156286.0,100,333376316.78
15,3100,166312.0,101,281976711.0
15,3200,176424.0,102,330969825.48
15,3300,186703.0,104,440855432.3
15,3400,197148.0,106,344573760.52
15,3500,207837.0,108,332313785.64
16,0,0.0,0,296274760.0
16,100,22.0,2,499303084.2
16,200,131.0,6,317860077.04
16,300,98.0,9,333588814.9
16,400,128.0,6,334377083.44
16,500,74.0,6,314168270.88
16,600,420.0,11,417228458.5
16,700,1337.0,18,317400588.36
16,800,3782.0,31,327755827.86
16,900,6478.0,29,286349303.94
16,1000,9449.0,32,303234858.6
16,1100,12781.0,36,503066259.56
16,1200,16809.0,44,371695639.64
16,1300,21657.0,51,402451273.52
16,1400,27005.0,57,473399940.68
16,1500,32861.0,59,355915821.9
16,1600,38790.0,60,330657485.16
16,1700,45027.0,65,340016336.3
16,1800,51797.0,71,421792766.48
16,1900,58965.0,74,412801847.12
16,2000,66481.0,76,356595605.9
16,2100,74230.0,79,537469897.78
16,2200,82270.0,81,360275474.36
16,2300,90594.0,84,417539229.56
16,2400,98994.0,84,417416609.54
16,2500,107484.0,85,308101757.54
16,2600,116045.0,86,317276410.26
16,2700,124723.0,87,276164853.66
16,2800,133598.0,91,333694367.36
16,2900,142784.0,95,290321458.74
16,3000,152579.0,101,353278499.84
16,3100,162704.0,102,534906420.68
16,3200,172918.0,103,358133371.84
16,3300,183278.0,104,385749361.56
16,3400,193725.0,106,406708414.48
16,3500,204416.0,109,444249425.68
17,0,0.0,0,800128672.0
17,100,41.0,3,431953762.72
17,200,130.0,6,385417195.78
17,300,76.0,7,392139903.78
17,400,16.0,3,319037552.88
17,500,175.0,9,601593215.46
17,600,614.0,11,387679007.46
17,700,1873.0,18,361325907.22
17,800,3923.0,29,335560600.64
17,900,6510.0,28,402515139.99
17,1000,9420.0,31,393867353.9
17,1100,12655.0,35,383789881.2
17,1200,16562.0,43,408767892.1
17,1300,21344.0,50,378392187.42
17,1400,26455.0,55,424780883.14
17,1500,32110.0,57,570281917.92
17,1600,37837.0,58,426177229.04
17,1700,43876.0,63,359400861.08
17,1800,50447.0,69,444896571.82
17,1900,57429.0,72,348384641.88
17,2000,64745.0,74,398091908.18
17,2100,72297.0,77,385831673.36
17,2200,80134.0,79,393340778.14
17,2300,88257.0,82,394088502.48
17,2400,96457.0,82,312572561.54
17,2500,104748.0,83,560745252.36
17,2600,113109.0,84,529001050.58
17,2700,121588.0,85,346976646.74
17,2800,130260.0,89,345184988.82
17,2900,139244.0,92,393553733.36
17,3000,148834.0,99,427832546.96
17,3100,158760.0,100,359110915.2
17,3200,168862.0,102,351655753.44
17,3300,179122.0,103,378174215.915
17,3400,189466.0,105,385551529.38
17,3500,200057.0,107,635492374.92
18,0,0.0,0,816938512.0
18,100,22.0,2,383123115.02
18,200,140.0,7,553307987.22
18,300,37.0,5,363711244.6
18,400,162.0,7,432672288.6
18,500,151.0,6,493998781.04
18,600,624.0,11,515885789.14
18,700,1857.0,19,417797744.64
18,800,4150.0,31,415178259.46
18,900,7302.0,33,590077506.76
18,1000,10671.0,36,369043040.44
18,1100,14406.0,41,327807651.84
18,1200,18950.0,49,344325740.94
18,1300,24303.0,55,518161574.4
18,1400,30055.0,61,416346440.38
18,1500,36310.0,63,414293552.42
18,1600,42638.0,64,445044116.9
18,1700,49279.0,69,441775932.15
18,1800,56446.0,74,388707960.46
18,1900,63953.0,77,633689814.76
18,2000,71769.0,79,404720239.02
18,2100,79812.0,81,436409105.76
18,2200,88051.0,83,422957081.16
18,2300,96576.0,86,452304670.1
18,2400,105176.0,86,421568166.62
18,2500,113867.0,87,416190932.56
18,2600,122627.0,88,403876409.68
18,2700,131506.0,89,415109864.72
18,2800,140584.0,93,426671802.175
18,2900,149973.0,97,683547505.84
18,3000,159965.0,103,439629250.04
18,3100,170291.0,104,355457887.94
18,3200,180705.0,105,438972295.2
18,3300,191326.0,108,317708243.68
18,3400,202146.0,109,459068307.46
18,3500,213137.0,111,372768184.66
