episode,junction_id,phase_id,duration
1,cluster_2392636248_5701984707,0,25
1,cluster_2448160324_6956757746,0,25
1,cluster_5704440437_6952915242,0,25
1,cluster_11187780370_538604288_5702189609_6950414916,0,25
1,cluster_5704440437_6952915242,1,3
1,cluster_2392636248_5701984707,1,5
1,cluster_2448160324_6956757746,1,5
1,cluster_11187780370_538604288_5702189609_6950414916,1,6
1,cluster_2392636248_5701984707,2,20
1,cluster_2448160324_6956757746,2,20
1,cluster_5704440437_6952915242,2,22
1,cluster_11187780370_538604288_5702189609_6950414916,2,19
1,cluster_5704440437_6952915242,3,3
1,cluster_2392636248_5701984707,3,5
1,cluster_2448160324_6956757746,3,5
1,cluster_11187780370_538604288_5702189609_6950414916,3,6
1,cluster_11187780370_538604288_5702189609_6950414916,4,6
1,cluster_11187780370_538604288_5702189609_6950414916,5,6
1,cluster_2392636248_5701984707,0,20
1,cluster_2448160324_6956757746,0,20
1,cluster_11187780370_538604288_5702189609_6950414916,0,7
1,cluster_2392636248_5701984707,1,5
1,cluster_2448160324_6956757746,1,5
1,cluster_11187780370_538604288_5702189609_6950414916,1,6
1,cluster_5704440437_6952915242,0,42
1,cluster_5704440437_6952915242,1,3
1,cluster_2392636248_5701984707,2,20
1,cluster_2448160324_6956757746,2,20
1,cluster_11187780370_538604288_5702189609_6950414916,2,19
1,cluster_5704440437_6952915242,2,6
1,cluster_2392636248_5701984707,3,5
1,cluster_2448160324_6956757746,3,5
1,cluster_11187780370_538604288_5702189609_6950414916,3,6
1,cluster_5704440437_6952915242,3,3
1,cluster_11187780370_538604288_5702189609_6950414916,4,6
1,cluster_11187780370_538604288_5702189609_6950414916,5,6
1,cluster_2392636248_5701984707,0,20
1,cluster_2448160324_6956757746,0,20
1,cluster_11187780370_538604288_5702189609_6950414916,0,7
1,cluster_2392636248_5701984707,1,5
1,cluster_2448160324_6956757746,1,5
1,cluster_11187780370_538604288_5702189609_6950414916,1,6
1,cluster_5704440437_6952915242,0,40
1,cluster_2392636248_5701984707,2,20
1,cluster_2448160324_6956757746,2,20
1,cluster_5704440437_6952915242,1,3
1,cluster_11187780370_538604288_5702189609_6950414916,2,19
1,cluster_2392636248_5701984707,3,5
1,cluster_2448160324_6956757746,3,5
1,cluster_11187780370_538604288_5702189609_6950414916,3,6
1,cluster_11187780370_538604288_5702189609_6950414916,4,6
1,cluster_11187780370_538604288_5702189609_6950414916,5,6
1,cluster_5704440437_6952915242,2,22
1,cluster_2392636248_5701984707,0,20
1,cluster_2448160324_6956757746,0,20
1,cluster_5704440437_6952915242,3,3
1,cluster_11187780370_538604288_5702189609_6950414916,0,7
1,cluster_2392636248_5701984707,1,5
1,cluster_2448160324_6956757746,1,5
1,cluster_11187780370_538604288_5702189609_6950414916,1,6
1,cluster_2392636248_5701984707,2,20
1,cluster_2448160324_6956757746,2,20
1,cluster_11187780370_538604288_5702189609_6950414916,2,19
1,cluster_2392636248_5701984707,3,5
1,cluster_2448160324_6956757746,3,5
1,cluster_11187780370_538604288_5702189609_6950414916,3,6
1,cluster_11187780370_538604288_5702189609_6950414916,4,6
1,cluster_5704440437_6952915242,0,42
1,cluster_11187780370_538604288_5702189609_6950414916,5,6
1,cluster_5704440437_6952915242,1,3
1,cluster_2392636248_5701984707,0,20
1,cluster_2448160324_6956757746,0,20
1,cluster_11187780370_538604288_5702189609_6950414916,0,7
1,cluster_2392636248_5701984707,1,5
1,cluster_2448160324_6956757746,1,5
1,cluster_11187780370_538604288_5702189609_6950414916,1,6
1,cluster_5704440437_6952915242,2,22
1,cluster_5704440437_6952915242,3,3
1,cluster_2392636248_5701984707,2,20
1,cluster_2448160324_6956757746,2,20
1,cluster_11187780370_538604288_5702189609_6950414916,2,19
1,cluster_2392636248_5701984707,3,5
1,cluster_2448160324_6956757746,3,5
1,cluster_11187780370_538604288_5702189609_6950414916,3,6
1,cluster_11187780370_538604288_5702189609_6950414916,4,6
1,cluster_5704440437_6952915242,0,22
1,cluster_11187780370_538604288_5702189609_6950414916,5,6
1,cluster_5704440437_6952915242,1,3
1,cluster_2392636248_5701984707,0,20
1,cluster_2448160324_6956757746,0,20
1,cluster_11187780370_538604288_5702189609_6950414916,0,7
